budget,genres,id,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
135000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",281957,en,The Revenant,100.635882,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""TW"", ""name"": ""Taiwan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-12-25,532950503,156,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]","(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",49521,en,Man of Steel,99.398009,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-12,662845518,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",You will believe that a man can fly.,Man of Steel,6.5,6359
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",11324,en,Shutter Island,81.914696,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-02-18,294804195,138,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Someone is missing.,Shutter Island,7.8,6336
180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10681,en,WALL·E,66.390712,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-22,521311860,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",An adventure beyond the ordinar-E.,WALL·E,7.8,6296
35000000,"[{""id"": 35, ""name"": ""Comedy""}]",18785,en,The Hangover,82.21166,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-06-05,459270619,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Some guys just can't handle Vegas.,The Hangover,7.2,6173
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",177572,en,Big Hero 6,203.73459,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-24,652105443,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
94000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",12,en,Finding Nemo,85.688789,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-05-30,940335536,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,6122
19000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",105,en,Back to the Future,76.603233,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1985-07-03,381109762,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",He's the only kid ever to get into trouble before he was born.,Back to the Future,8.0,6079
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",127585,en,X-Men: Days of Future Past,118.078691,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-05-15,747862775,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
115000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",585,en,"Monsters, Inc.",106.815545,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-11-01,562816256,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",We Scare Because We Care.,"Monsters, Inc.",7.5,5996
6000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",238,en,The Godfather,143.659698,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1972-03-14,245066411,175,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",An offer you can't refuse.,The Godfather,8.4,5893
130000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",102899,en,Ant-Man,120.09361,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-07-14,519311965,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Heroes don't get any bigger.,Ant-Man,7.0,5880
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1891,en,The Empire Strikes Back,78.51783,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980-05-17,538400000,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Adventure Continues...,The Empire Strikes Back,8.2,5879
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",240832,en,Lucy,115.241998,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-14,126546825,89,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,6.3,5878
